activitysummarydate,total_plantimmaturecount,total_planttrackedcount,total_plantfloweringcount,total_plantvegetativecount,total_plantdestroyedcount,total_plantharvestedcount,total_plantcount,salestotal,total_active_harvestcount,total_active_packagecount,total_plantbatchcount,total_activeproducts,total_activestrains,total_employees
7/20/2019 0:00,24519,87378,52404,34974,29983,107138,224499,213314480.3,541,27449,654,34318,5879,2449
7/19/2019 0:00,24842,87106,52113,34993,29963,107138,224207,211706062.5,541,27534,696,34293,5877,2449
7/18/2019 0:00,25745,86750,52441,34309,29848,106015,222613,209928623.2,535,27082,701,34239,5859,2448
7/17/2019 0:00,20545,87708,53071,34637,29300,105047,222055,208464320.5,539,26810,645,34118,5856,2442
7/16/2019 0:00,23200,84663,52679,31984,29109,104638,218410,207248023.8,546,26424,669,34029,5851,2441
7/15/2019 0:00,25823,84368,52710,31658,27592,102975,214935,206016085.3,533,26462,708,33964,5725,2436
7/14/2019 0:00,25393,85770,52290,33480,27247,101892,214909,204833722,526,26807,699,33855,5723,2436
7/13/2019 0:00,24969,86720,52024,34696,26006,101892,214618,203523975,526,26943,697,33718,5718,2436
7/12/2019 0:00,25656,85865,52024,33841,25961,101892,213718,201596868.7,528,27049,695,33699,5716,2435
7/11/2019 0:00,26076,86441,51837,34604,25831,100621,212893,199724655,518,27046,709,33613,5693,2433
7/10/2019 0:00,25502,86594,47380,39214,25592,99681,211867,198194950.3,519,26462,685,33543,5684,2431
7/9/2019 0:00,24785,88905,49409,39496,25263,97363,211531,196867822.9,507,25933,694,33459,5651,2419
7/8/2019 0:00,24843,88917,47522,41395,25164,96971,211052,195570573.1,511,25374,694,33364,5624,2419
7/7/2019 0:00,31466,87430,50334,37096,24860,92786,205076,194291134.1,366,25030,777,33278,5612,2357
7/6/2019 0:00,30800,87451,48814,38637,24694,92786,204931,192829165.2,369,24995,782,33262,5611,2357
7/5/2019 0:00,31388,86438,48564,37874,24677,92786,203901,191030505.6,369,25197,763,33243,5611,2357
7/4/2019 0:00,31648,85663,47305,38358,24368,92779,202810,189108951.6,367,25037,759,33194,5602,2357
7/3/2019 0:00,30861,85976,47294,38682,24080,92694,202750,188204320.2,366,26798,756,33165,5588,2357
7/2/2019 0:00,31897,84392,46839,37553,23737,92405,200534,186450296,377,26388,764,33113,5532,2281
7/1/2019 0:00,35926,81598,46795,34803,23647,91097,196342,185018278.9,384,25645,775,33046,5523,2278
6/30/2019 0:00,35915,81249,46089,35160,23305,90989,195543,183647791.4,409,25400,647,32980,5517,2295
6/29/2019 0:00,35556,81608,45856,35752,22662,90989,195259,182179823.7,409,26889,649,32973,5516,2295
6/28/2019 0:00,35321,81592,45436,36156,22662,90989,195243,180262726.1,419,27515,642,32952,5512,2298
6/27/2019 0:00,34020,82735,45544,37191,22234,90056,195025,178495215.8,450,26961,613,32907,5505,2263
6/26/2019 0:00,28622,83647,46882,36765,21914,88724,194285,177066209.3,487,26444,555,32852,5502,2254
6/25/2019 0:00,27453,84014,46338,37676,21754,87930,193698,175808752.4,491,27153,559,32800,5495,2262
6/24/2019 0:00,26782,83476,47249,36227,21498,87018,191992,174526619.9,488,26965,472,32726,5480,2243
6/23/2019 0:00,25188,85528,47792,37736,21162,85302,191992,173395869.2,498,26542,449,32691,5478,2086
6/22/2019 0:00,24969,85539,47370,38169,21151,85302,191992,172014494.9,498,26598,434,32688,5477,2086
6/21/2019 0:00,24989,85502,47041,38461,21101,85229,191832,170270394,490,26619,438,32676,5475,2086
6/20/2019 0:00,26637,82685,46802,35883,20955,85088,188728,168483987.2,494,26297,485,32561,5454,2075
6/19/2019 0:00,25965,81725,47294,34431,20913,84303,186941,166958491.2,489,26016,458,32487,5439,2069
6/18/2019 0:00,25488,81204,47424,33780,20569,83603,185376,165819303.2,494,25609,453,32406,5427,2046
6/17/2019 0:00,26420,81037,48333,32704,19530,82743,183310,164607643,487,25277,455,32323,5414,2045
6/16/2019 0:00,26831,81793,45428,36365,19273,81773,182839,163338031,493,24912,469,32274,5408,2039
6/15/2019 0:00,26204,81821,45084,36737,19245,81773,182839,162027764.4,501,24918,478,32262,5406,2039
6/14/2019 0:00,26616,81423,45084,36339,19242,81773,182438,160423774.5,501,25098,482,32248,5406,2039
6/13/2019 0:00,28044,81798,46949,34849,19001,79374,180173,158753470.3,487,24894,480,32179,5391,2025
6/12/2019 0:00,24818,82574,48122,34452,18575,78314,179463,157405905.4,444,24313,449,32149,5389,2025
6/11/2019 0:00,27525,79745,47708,32037,18464,78120,176329,156274310.2,444,23965,478,32067,5388,2017
6/10/2019 0:00,28291,80126,47584,32542,17451,77555,175132,155111827.2,443,23916,485,31962,5382,2011
6/9/2019 0:00,26089,82404,49313,33091,17352,75376,175132,153963680.2,306,23531,459,31925,5375,2004
6/8/2019 0:00,27405,81839,49077,32762,17278,75252,174369,152730749.6,300,23574,490,31908,5363,2003
6/7/2019 0:00,29279,79984,48785,31199,17259,75252,172495,151189384.4,300,23690,498,31896,5357,2003
6/6/2019 0:00,28922,79855,49700,30155,16885,74243,170983,149599882.5,297,23317,492,31821,5332,1982
6/5/2019 0:00,29991,78615,47963,30652,16684,73368,168667,148330449.3,312,22891,509,31735,5325,1979
6/4/2019 0:00,29188,78240,47776,30464,16392,72178,166810,147209485.5,306,22715,498,31661,5319,1976
6/3/2019 0:00,28240,78508,42239,36269,16346,71572,166426,145684687.7,300,22396,445,31562,5277,1976
6/2/2019 0:00,29815,79286,44318,34968,16246,68936,164468,144708160.8,324,22029,466,31492,5250,1976
6/1/2019 0:00,29753,78593,44023,34570,16111,68936,163640,143600880.3,324,22066,478,31489,5250,1976
5/31/2019 0:00,27976,78332,43779,34553,16091,68936,163359,142192652.8,328,22034,470,31437,5246,1976
5/30/2019 0:00,26461,78633,42905,35728,15984,68436,163053,140767147.8,345,21585,439,31312,5192,1974
5/29/2019 0:00,24816,79083,39155,39928,15663,67358,162104,139570534.1,368,21015,414,31252,5182,1962
5/28/2019 0:00,26905,78424,40166,38258,15369,65467,159260,138452015.5,381,20571,421,31189,5182,1961
5/27/2019 0:00,27461,79207,40882,38325,15147,64677,159031,137382403.9,392,20338,432,31137,5177,1961
5/26/2019 0:00,30464,77222,40569,36653,15071,64677,156970,136548968.2,392,20393,473,31135,5177,1960
5/25/2019 0:00,30234,77128,40281,36847,14994,64677,156799,135250228.2,393,20458,475,31131,5177,1957
5/24/2019 0:00,29962,76653,39692,36961,14979,64677,156309,133597430.9,400,20598,468,31110,5168,1951
5/23/2019 0:00,26948,77200,40167,37033,14857,64119,156176,131875941.8,397,20490,461,31060,5163,1945
5/22/2019 0:00,27051,77923,40749,37174,14706,63107,155736,130571834.1,385,19984,447,31021,5157,1942
5/21/2019 0:00,28268,76775,42554,34221,14681,61294,152750,129476081.4,366,19667,459,30984,5150,1940
5/20/2019 0:00,28308,78322,44188,34134,14642,59360,152324,128481235.8,352,19500,465,30871,5113,1940
5/19/2019 0:00,29901,77072,44981,32091,14323,58568,149963,127514036.1,369,19218,473,30844,5112,1934
5/18/2019 0:00,29238,76821,44738,32083,14264,58568,149653,126317866.9,369,19256,463,30841,5112,1934
5/17/2019 0:00,28814,76694,44423,32271,14252,58568,149514,124807101.1,369,19415,455,30830,5111,1934
5/16/2019 0:00,29241,76556,44523,32033,14062,58010,148628,123278242.2,363,19116,471,30768,5103,1937
5/15/2019 0:00,31030,76803,45820,30983,13791,55400,145994,122068236.2,336,18819,476,30732,5093,1938
5/14/2019 0:00,28744,77183,46014,31169,13730,54343,145256,120970219,323,18482,479,30671,5093,1930
5/13/2019 0:00,31145,76627,47453,29174,13653,52909,143189,119974377.4,308,18171,523,30623,5091,1932
5/12/2019 0:00,30704,78322,47995,30327,13377,51407,143106,119033580.7,186,17806,522,30597,5090,1924
5/11/2019 0:00,30124,78328,47760,30568,13344,51407,143079,118047164.5,187,17859,505,30592,5089,1924
5/10/2019 0:00,29500,78528,47446,31082,12948,51407,142883,116654512.6,187,17794,489,30557,5079,1922
5/9/2019 0:00,29676,78609,47217,31392,12913,50336,141858,115214566.4,195,17782,490,30469,5063,1922
5/8/2019 0:00,31501,75472,47238,28234,12677,49447,137596,114159543.8,191,17872,510,28182,4351,1914
5/7/2019 0:00,30005,74822,47524,27298,12609,49167,136598,113169984.2,205,17686,507,28136,4264,1907
5/6/2019 0:00,29309,74548,46917,27631,12511,48806,135865,112251606.6,201,17589,505,28069,4264,1908
5/5/2019 0:00,29929,76743,48660,28083,12231,46338,135312,111368774.9,202,17407,517,28038,4258,1904
5/4/2019 0:00,30023,76837,47876,28961,12135,46338,135310,110193898.1,202,17409,516,28038,4258,1903
5/3/2019 0:00,30638,76067,47595,28472,12019,46338,134424,108714578.8,211,18081,531,28028,4255,1903
5/2/2019 0:00,20500,77644,47723,29921,11426,45145,134215,107391854.2,217,18291,474,27945,4245,1901
5/1/2019 0:00,20986,78062,47765,30297,11267,44199,133528,106358555,232,18085,459,27883,4241,1871
4/30/2019 0:00,21313,77548,46515,31033,11220,43428,132196,105389448.8,252,17862,427,27828,4236,1863
4/29/2019 0:00,23633,75379,46840,28539,10810,42709,128898,104509463.2,262,18089,453,27729,4218,1862
4/28/2019 0:00,26178,74191,46592,27599,10748,42301,127240,103694812.4,270,17851,488,27654,4215,1851
4/27/2019 0:00,25293,74015,44056,29959,10668,42301,126984,102628810.1,272,17821,495,27651,4215,1851
4/26/2019 0:00,24047,73421,43744,29677,10642,42301,126364,101201995.1,279,17796,489,27562,4211,1851
4/25/2019 0:00,24083,72983,44361,28622,10268,41118,124369,99699130.3,268,18219,464,26038,4206,1848
4/24/2019 0:00,23267,73932,44518,29414,10041,40351,124324,98777189.26,287,18120,433,25961,4203,1847
4/23/2019 0:00,26183,72926,45080,27846,9855,38379,121160,97827247.19,280,17941,473,25829,4191,1839
4/22/2019 0:00,26399,70662,45441,25221,9833,37406,117901,96906986.56,272,17265,456,25707,4127,1831
4/21/2019 0:00,27000,70505,45570,24935,9830,36733,117068,95999732.09,276,16743,466,25639,3673,1832
4/20/2019 0:00,27530,70302,45570,24732,9769,36733,116804,95372959.67,276,16732,469,25636,3672,1832
4/19/2019 0:00,27585,70644,46030,24614,9754,35821,116219,93790121.68,278,17044,488,25625,3669,1830
4/18/2019 0:00,27948,68740,45166,23574,9495,34750,112985,92188987.13,300,16974,516,25575,3664,1837
4/17/2019 0:00,27045,68420,44194,24226,9363,34750,112533,91076003.12,302,16574,530,25479,3599,1830
4/16/2019 0:00,29140,65857,42683,23174,9290,34323,109470,90084628.76,310,16064,547,24757,3548,1761
4/15/2019 0:00,30401,64975,41713,23262,8997,34050,108022,89196984.35,311,15634,571,24653,3628,1743
4/14/2019 0:00,30404,66136,40349,25787,8954,32721,107811,88412022.32,184,15159,566,24610,3604,1736
4/13/2019 0:00,29639,66256,40353,25903,8834,32721,107811,87428581.21,184,15152,560,24608,3604,1736
4/12/2019 0:00,29131,66507,40585,25922,8694,32243,107444,86098480.74,176,15153,535,24589,3604,1736
4/11/2019 0:00,24912,65170,40229,24941,8650,31266,105086,84868347.48,181,14944,480,24420,3551,1732
4/10/2019 0:00,23709,64522,40706,23816,8574,30512,103608,83899490.79,165,14654,475,24344,3548,1747
4/9/2019 0:00,25044,62343,39987,22356,8385,30234,100962,83019235.35,168,14454,466,24280,3538,1744
4/8/2019 0:00,26238,62806,39947,22859,7746,29397,99949,82249705,164,14186,476,21454,3523,1729
4/7/2019 0:00,27023,63674,40838,22836,7395,27991,99060,81448285.53,148,13841,481,21376,3508,1728
4/6/2019 0:00,26766,63701,40601,23100,7357,27991,99049,80466283.04,149,13837,476,21367,3507,1728
4/5/2019 0:00,20097,62464,40265,22199,7327,27991,97782,79182616.2,149,13815,340,21355,3505,1714
4/4/2019 0:00,25999,62595,40545,22050,7292,27384,97271,77476245.32,141,13346,477,21229,3493,1703
4/3/2019 0:00,24846,63081,40807,22274,7231,26823,97135,77060270.46,139,12918,451,20941,3415,1685
4/2/2019 0:00,22693,63136,41039,22097,7095,26289,96520,76183910.81,138,12746,434,20579,3409,1685
4/1/2019 0:00,22996,62133,40436,21697,6970,25633,94736,75404747.59,140,12483,438,20510,3405,1679
3/31/2019 0:00,22861,61470,39439,22031,6932,25633,94035,74617570.38,145,12267,436,20425,3403,1669
3/30/2019 0:00,21584,61410,39440,21970,6894,25633,93937,73692136.61,146,12291,421,20409,3362,1668
3/29/2019 0:00,15292,60481,38515,21966,6889,25633,93003,72438158,146,12047,292,20388,3360,1667
3/28/2019 0:00,15894,57004,37917,19087,6834,25161,88999,71270026.99,145,11596,305,20346,3283,1662
3/27/2019 0:00,16078,53713,35821,17892,6771,25066,85550,70362719.28,122,11028,298,20023,3254,1609
3/26/2019 0:00,15399,53334,36291,17043,6624,24344,84302,69370147.92,125,10462,277,19865,3232,1593
3/25/2019 0:00,16757,49199,32364,16835,6555,24305,80059,68650484.51,124,10247,313,19723,3155,1570
3/24/2019 0:00,15941,45625,31082,14543,6519,22018,74162,67904980.32,115,9963,371,19681,3145,1515
3/23/2019 0:00,16718,45205,30805,14400,6432,22018,73655,66988779.32,116,9948,385,19673,3138,1515
3/22/2019 0:00,16054,45166,30477,14689,6369,22018,73553,65788918.49,116,9879,380,15426,3124,1506
3/21/2019 0:00,15029,43514,28981,14533,6318,21361,71193,64762517.07,110,10037,313,15393,3110,1503
3/20/2019 0:00,14182,42654,24927,17727,6262,20887,69803,64046856.18,105,9757,300,15277,3096,1479
3/19/2019 0:00,12727,39501,24476,15025,6255,20586,66342,63380555.75,107,9445,239,14507,2926,1459
3/18/2019 0:00,13944,37464,23776,13688,6181,20486,64131,62803210.66,109,8597,261,14421,2829,1443
3/17/2019 0:00,14404,38532,24526,14006,6174,18998,63704,62221880.21,91,8814,258,14276,2822,1436
3/16/2019 0:00,13812,38457,24528,13929,6164,18998,63619,61509739.27,91,8821,249,14274,2822,1436
3/15/2019 0:00,12871,38297,24239,14058,6156,18998,63451,60524852.72,91,8721,243,14260,2817,1436
3/14/2019 0:00,12846,38120,24240,13880,6077,18998,63195,59648895.26,92,8245,224,14085,2769,1437
3/13/2019 0:00,13615,37583,23032,14551,6055,18639,62277,58980630.68,91,7920,225,13672,2693,1437
3/12/2019 0:00,15242,36485,23625,12860,6016,18052,60553,58389516.94,96,7601,256,13643,2689,1437
3/11/2019 0:00,14883,36369,22522,13847,5958,17610,59937,57824986.19,92,7477,258,13603,2686,1441
3/10/2019 0:00,15849,36468,23025,13443,5766,16876,59110,57260932.82,85,7489,282,13372,2674,1337
3/9/2019 0:00,15163,36316,23027,13289,5752,16876,58944,56694233.66,85,7503,281,13369,2673,1336
3/8/2019 0:00,12672,34292,22378,11914,5745,16876,56913,55706840.39,85,7467,211,13353,2670,1336
3/7/2019 0:00,12383,30918,19027,11891,5737,16369,53024,54861218.08,79,7241,205,11037,2545,1218
3/6/2019 0:00,11893,31205,19280,11925,5695,16122,53022,54175499.55,77,7091,202,11004,2538,1202
3/5/2019 0:00,13415,28925,17806,11119,5688,16122,50735,53558445.86,80,6869,186,10953,2537,1198
3/4/2019 0:00,13499,29634,18561,11073,5668,15372,50674,53011495.21,72,6783,187,10915,2538,1165
3/3/2019 0:00,13712,30921,15459,15462,5624,13870,50415,52603901.87,61,6826,194,10903,2531,1155
3/2/2019 0:00,13644,30865,15459,15406,5588,13870,50323,51910482.84,61,6812,191,10903,2531,1152
3/1/2019 0:00,13647,30728,15248,15480,5585,13870,50183,51158789.54,65,6765,208,10882,2520,1152
2/28/2019 0:00,12918,31115,13967,17148,5312,13575,50002,50255373.97,74,6491,206,10839,2517,1149
2/27/2019 0:00,11921,30818,13654,17164,5305,13575,49698,49671267.63,77,6284,200,10812,2517,1148
2/26/2019 0:00,9477,31075,12123,18952,5070,13359,49504,48898172.01,80,6180,202,10724,2458,1136
2/25/2019 0:00,7508,28463,12184,16279,5006,13298,46767,48583037.34,92,6057,183,10651,2451,1131
2/24/2019 0:00,7808,27898,12539,15359,5006,12943,45847,48099683.81,93,5989,189,10626,2440,1129
2/23/2019 0:00,7237,27903,12334,15569,5001,12943,45847,47492513.97,93,5986,181,10621,2437,1128
2/22/2019 0:00,8118,27036,11755,15281,4999,12943,44978,46582315.95,93,6052,199,10602,2429,1124
2/21/2019 0:00,7901,27284,11946,15338,4939,12752,44975,45776396.72,97,6437,192,10598,2424,1117
2/20/2019 0:00,8246,27743,12649,15094,4900,12046,44689,45214366.79,88,6312,201,10582,2283,1116
2/19/2019 0:00,8086,27860,12986,14874,4832,11439,44131,44674558.2,87,6082,200,10559,2269,1105
2/18/2019 0:00,9268,27033,13207,13826,4541,10936,42510,44116920.45,85,5972,192,10410,2138,964
2/17/2019 0:00,9213,26811,13208,13603,4522,10936,42269,43580220.82,85,5915,189,10352,2117,958
2/16/2019 0:00,8846,26818,13208,13610,4515,10936,42269,42808558.52,85,5924,161,10336,2115,958
2/15/2019 0:00,9133,26339,12897,13442,4494,10936,41769,41859208.3,85,5898,169,9599,2113,958
2/14/2019 0:00,8527,26235,12982,13253,4425,10851,41511,41000501.88,96,5712,177,9559,2107,925
2/13/2019 0:00,7353,26813,13294,13519,4419,10279,41511,40360965.04,100,5527,180,9139,2050,922
2/12/2019 0:00,7462,26645,13294,13351,4400,10279,41324,39812916.54,102,5424,182,9009,1997,920
2/11/2019 0:00,7426,26609,11270,15339,4387,10279,41275,39482807.06,102,5280,181,8944,1986,920
2/10/2019 0:00,7548,26506,11273,15233,4376,10279,41161,38917296.17,105,5201,197,8907,1981,918
2/9/2019 0:00,7648,25899,11273,14626,4355,10279,40533,38256160.77,105,5637,195,8902,1981,918
2/8/2019 0:00,7964,25536,11273,14263,4354,10279,40169,36681368.77,105,5635,203,8887,1974,918
2/7/2019 0:00,7682,25888,11601,14287,4330,9951,40169,35976314.62,95,5538,195,8874,1956,916
2/6/2019 0:00,7541,25990,11875,14115,4251,9677,39918,35461006.91,99,6393,191,8779,1954,908
2/5/2019 0:00,7476,26028,11521,14507,4192,9533,39753,35004332.09,97,6209,183,8731,1888,907
2/4/2019 0:00,7845,25622,11805,13817,4183,9250,39055,34542563.59,101,6178,184,8714,1885,893
2/3/2019 0:00,7993,25862,12325,13537,4175,8731,38768,34063669.14,97,5938,190,8689,1884,873
2/2/2019 0:00,6614,25261,11076,14185,4168,8731,38160,33544359.26,97,5944,178,8675,1884,873
2/1/2019 0:00,6452,25245,10579,14666,4165,8731,38141,32764996.97,97,5872,180,8667,1882,873
1/31/2019 0:00,6531,25392,10739,14653,4138,8571,38101,32064770.39,103,5692,178,8630,1865,873
1/30/2019 0:00,6419,25548,11050,14498,4116,8260,37924,31563270.11,103,5610,176,8562,1835,712
1/29/2019 0:00,6566,25597,12174,13423,3027,7810,36434,31077211.45,104,5517,179,8452,1808,675
1/28/2019 0:00,6820,25307,13045,12262,2212,7196,34715,30656876.71,106,5665,177,8198,1808,675
1/27/2019 0:00,7754,25071,13367,11704,2147,6576,33794,30106489.6,103,5545,185,8121,1699,664
1/26/2019 0:00,8140,24789,13472,11317,2135,6496,33420,29442257.37,102,5521,188,8118,1699,664
1/25/2019 0:00,8141,24793,13472,11321,2131,6496,33420,28602715.3,102,5385,188,8109,1699,664
1/24/2019 0:00,7193,24710,13430,11280,2120,6496,33326,27836324.26,106,5246,159,8009,1565,664
1/23/2019 0:00,7227,22433,12146,10287,2115,6362,30910,27290294.13,114,5138,157,7956,1532,664
1/22/2019 0:00,7088,22294,12226,10068,2094,6003,30391,26732777.62,110,4949,149,7902,1527,658
1/21/2019 0:00,7304,22405,12731,9674,2091,5500,29996,26236657.17,97,4882,154,7876,1498,655
1/20/2019 0:00,7513,22488,12879,9609,2043,5264,29795,25725235.95,86,6427,156,7829,1493,621
1/19/2019 0:00,7517,22507,12641,9866,2024,5264,29795,25579649.76,86,6407,156,7814,1493,621
1/18/2019 0:00,7803,22230,12357,9873,2020,5264,29514,24839214.31,87,6337,164,7711,1488,621
1/17/2019 0:00,9356,22232,12823,9409,1999,4781,29012,24180273.66,82,6185,185,7610,1435,553
1/16/2019 0:00,9492,21879,12835,9044,1978,4781,28638,23611659.41,84,6017,177,7558,1428,553
1/15/2019 0:00,8842,21960,12904,9056,1897,4781,28638,23101277.03,84,5902,161,7546,1428,535
1/14/2019 0:00,8678,22022,12786,9236,1895,4691,28608,22629793.19,88,5363,151,7516,1418,519
1/13/2019 0:00,8944,22051,13168,8883,1892,4309,28252,22168613.4,83,5190,156,7505,1417,504
1/12/2019 0:00,8956,22061,13168,8893,1882,4309,28252,21687244.72,83,5163,156,7501,1417,504
1/11/2019 0:00,8896,22062,13168,8894,1881,4309,28252,21023853.53,83,5111,153,7493,1413,505
1/10/2019 0:00,3019,16082,8928,7154,1875,4309,22266,20401914.59,84,4848,106,7353,1335,505
1/9/2019 0:00,3163,15967,8433,7534,1756,4263,21986,19962377.87,83,4666,107,7302,1316,494
1/8/2019 0:00,2960,15970,8593,7377,1669,4120,21759,19579097.86,81,4446,101,7247,1299,492
1/7/2019 0:00,3107,15558,7828,7730,1638,4096,21292,19232625.23,73,4307,107,7214,1298,492
1/6/2019 0:00,3217,15613,7637,7976,1605,3967,21185,18865637.64,73,4119,110,7191,1296,492
1/5/2019 0:00,2781,15557,7204,8353,1595,3903,21055,18452340.06,72,4126,98,7191,1296,492
1/4/2019 0:00,2493,15688,7332,8356,1592,3775,21055,17927650.82,71,4060,90,7170,1290,492
1/3/2019 0:00,2633,15510,7438,8072,1449,3387,20346,17449005.69,64,3937,92,7161,1286,444
1/2/2019 0:00,3254,15319,7774,7545,1232,3207,19758,17042901.06,54,3815,102,7119,1285,440
1/1/2019 0:00,3288,15493,7996,7497,1217,2985,19695,16632025.77,49,3665,101,7092,1253,437
12/31/2018 0:00,4045,15414,7652,7762,1082,2799,19295,16460702.09,38,3604,123,7076,1206,437
12/30/2018 0:00,4051,15474,7686,7788,1056,2765,19295,16074857.25,36,3483,123,7024,1136,435
12/29/2018 0:00,4257,15539,7897,7642,1048,2553,19140,15601674.64,33,3475,130,7015,1135,436
12/28/2018 0:00,4401,15573,7947,7626,920,2503,18996,15061066.97,32,3363,134,7015,1135,432
12/27/2018 0:00,4613,15976,8619,7357,914,1832,18722,14490862.41,15,3207,140,6997,1129,409
12/26/2018 0:00,7685,16393,8178,8215,704,1261,18358,13912414.37,9,3285,239,6797,1126,407
12/25/2018 0:00,8145,16430,8898,7532,687,550,17667,13359897.43,4,3174,243,6774,1118,362
12/24/2018 0:00,8167,16430,8898,7532,687,550,17667,13359897.43,4,3174,243,6774,1118,362
12/23/2018 0:00,8253,17000,8712,8288,140,459,17599,13057421.03,3,3196,246,6765,1113,358
12/22/2018 0:00,8446,16858,8712,8146,138,459,17455,12579237.44,3,3196,251,6761,1111,358
12/21/2018 0:00,8690,16675,8128,8547,109,459,17243,11941619.33,3,3133,258,6760,1111,358
12/20/2018 0:00,8511,15754,8131,7623,86,459,16299,11545757.42,3,2789,260,6692,1110,358
12/19/2018 0:00,8792,15457,7665,7792,70,459,15986,11116251.89,3,2596,268,6666,1098,351
12/18/2018 0:00,7799,14291,6738,7553,68,459,14818,10722137.36,3,2463,256,6590,1098,343
12/17/2018 0:00,7702,13925,595,13330,17,459,14401,10355378.7,3,2245,252,6549,1095,342
12/16/2018 0:00,160,794,595,199,12,459,1265,9987926.85,3,1369,4,4257,984,342
12/15/2018 0:00,160,794,595,199,12,459,1265,9601912.68,3,1361,4,2418,865,330
12/14/2018 0:00,160,794,595,199,12,459,1265,9154020.63,3,1337,4,2407,865,330
12/13/2018 0:00,160,697,595,102,12,459,1168,8777269.36,3,1251,4,1459,745,330
12/12/2018 0:00,250,607,595,12,12,459,1078,8445024.17,3,1235,4,1451,741,320
12/11/2018 0:00,250,607,595,12,12,459,1078,8128446.95,3,1176,4,1414,733,320
12/10/2018 0:00,250,607,595,12,12,459,1078,7809882.87,3,1162,4,1402,730,306
12/9/2018 0:00,250,607,595,12,12,459,1078,7519411.36,3,1128,4,1398,533,283
12/8/2018 0:00,250,607,595,12,12,459,1078,7185088.82,3,1128,4,1398,533,283
12/7/2018 0:00,250,607,595,12,12,459,1078,6773398.45,3,1101,4,1389,533,283
12/6/2018 0:00,250,607,595,12,12,459,1078,6340285.72,3,1042,4,1379,533,280
12/5/2018 0:00,250,607,595,12,12,459,1078,6000431.66,6,1044,4,1317,533,180
12/4/2018 0:00,0,654,642,12,12,412,1078,5677468.71,5,1008,0,1075,467,147
12/3/2018 0:00,0,839,827,12,11,228,1078,5382566.24,3,986,0,937,395,139
12/2/2018 0:00,0,839,827,12,11,228,1078,5075717.89,3,950,0,919,315,139
12/1/2018 0:00,0,839,827,12,11,228,1078,4576756.18,3,949,0,918,315,139
11/30/2018 0:00,0,839,827,12,11,228,1078,3620367.69,3,930,0,918,315,139
11/29/2018 0:00,0,845,833,12,5,228,1078,3502209.1,3,916,0,916,312,129
11/28/2018 0:00,0,849,837,12,1,228,1078,3405597.99,3,895,0,624,312,125
11/27/2018 0:00,0,849,837,12,1,228,1078,3047567.34,3,873,0,605,117,113
11/26/2018 0:00,0,849,837,12,1,228,1078,2705429.31,3,856,0,604,116,103
11/25/2018 0:00,0,849,837,12,1,228,1078,2333056.68,3,835,0,578,116,100
11/24/2018 0:00,0,849,837,12,1,228,1078,1930150.66,3,815,0,577,116,100
11/23/2018 0:00,0,849,837,12,1,228,1078,1435854.08,3,804,0,575,115,100
11/22/2018 0:00,0,959,947,12,1,118,1078,928667.01,1,790,0,575,115,100
11/21/2018 0:00,0,959,947,12,1,118,1078,928667.01,1,790,0,575,115,100
11/20/2018 0:00,0,1077,1065,12,1,0,1078,289128.7,0,775,0,570,115,100
11/19/2018 0:00,0,1077,1065,12,1,0,1078,177,0,675,0,533,113,100
11/18/2018 0:00,0,228,217,11,0,0,228,177,0,649,0,524,112,100
11/17/2018 0:00,0,0,0,0,0,0,0,177,0,624,0,506,92,100
11/16/2018 0:00,0,0,0,0,0,0,0,177,0,613,0,506,92,100
11/15/2018 0:00,0,0,0,0,0,0,0,177,0,613,0,506,92,74
11/14/2018 0:00,0,0,0,0,0,0,0,177,0,550,0,485,92,74
11/13/2018 0:00,0,0,0,0,0,0,0,177,0,542,0,481,91,74
11/12/2018 0:00,0,0,0,0,0,0,0,177,0,542,0,481,91,74
11/9/2018 0:00,0,0,0,0,0,0,0,177,0,500,0,481,91,74
11/8/2018 0:00,0,0,0,0,0,0,0,177,0,500,0,481,91,74
11/7/2018 0:00,0,0,0,0,0,0,0,177,0,500,0,481,91,74
11/6/2018 0:00,0,0,0,0,0,0,0,147,0,496,0,481,91,74
11/5/2018 0:00,0,0,0,0,0,0,0,0,0,421,0,440,90,74
11/2/2018 0:00,0,0,0,0,0,0,0,0,0,421,0,440,90,74
11/1/2018 0:00,0,0,0,0,0,0,0,0,0,421,0,440,90,73
10/31/2018 0:00,0,0,0,0,0,0,0,0,0,421,0,424,90,73
10/30/2018 0:00,0,0,0,0,0,0,0,0,0,421,0,424,90,65
10/29/2018 0:00,0,0,0,0,0,0,0,0,0,421,0,424,90,44
10/26/2018 0:00,0,0,0,0,0,0,0,0,0,364,0,401,89,44
10/25/2018 0:00,0,0,0,0,0,0,0,0,0,364,0,314,73,44
10/24/2018 0:00,0,0,0,0,0,0,0,0,0,364,0,314,73,44
10/23/2018 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,44
10/22/2018 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,44
10/19/2018 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,44
10/18/2018 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,44
10/17/2018 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,40
10/16/2018 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,9
10/15/2018 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,3
